"modelCode","category","arabicName","englishName","turkishName","curated","representativeColourwayCode","namingReason"
"WTW-001","Geometric","عروق","Veins","Damarlar","false","WTW-001-C04","Fine branching lines cross a pale ground."
"WTW-002","Abstract","قصاصات","Fragments","Parçalar","true","WTW-002-C02","Angular fragments create a lively, irregular mosaic."
"WTW-003","Linear","مداد","Ink","Mürekkep","true","WTW-003-C03","Worn horizontal strokes suggest layered ink marks."
"WTW-004","Geometric","كتل","Blocks","Bloklar","false","WTW-004-C04","Broad rectangular fragments form the repeated structure."
"WTW-006","Organic","صدع","Rift","Yarık","true","WTW-006-C01","Strong branching fissures read clearly even at thumbnail size."
"WTW-008","Organic","تشعّب","Branchwork","Dallanma","false","WTW-008-C04","Fine vein-like branches spread through the repeat."
"WTW-009","Textural","عتق","Patina","Eskitme","true","WTW-009-C02","Layered vertical distress gives a deep textile patina."
"WTW-010","Ornamental","هالات","Halos","Haleler","true","WTW-010-C05","Small radiant medallions repeat at a measured scale."
"WTW-011","Geometric","شظايا","Shards","Kırıklar","true","WTW-011-C01","Sharp, scattered linear pieces form an airy composition."
"WTW-012","Geometric","زوايا","Angles","Açılar","false","WTW-012-C03","Nested angular routes dominate the dense repeat."
"WTW-013","Linear","محاور","Axes","Eksenler","true","WTW-013-C05","Intersecting vertical and horizontal lines anchor the design."
"WTW-014","Linear","إيقاع","Cadence","Ritim","true","WTW-014-C02","Short offset strokes produce a steady linear beat."
"WTW-015","Geometric","مدار","Orbit","Yörünge","true","WTW-015-C03","Centered geometric medallions give each repeat an orbital focus."
"WTW-016","Geometric","مسالك","Pathways","Güzergâhlar","true","WTW-016-C01","Bold interlocking routes create a graphic maze."
"WTW-017","Abstract","طيف","Spectrum","Tayf","true","WTW-017-C01","Soft irregular fields shift between light and dark."
"WTW-018","Geometric","ذرّات","Specks","Benekler","false","WTW-018-C04","Small scattered marks sit over a regular field."
"WTW-019","Geometric","نثار","Scatter","Saçılım","true","WTW-019-C02","Dark flecks scatter across a loose open mesh."
"WTW-020","Geometric","هدوء","Quiet","Sükûnet","false","WTW-020-C01","The near-tone-on-tone repeat is exceptionally restrained."
"WTW-021","Linear","تدرّج","Gradient","Gradyan","false","WTW-021-C01","A gentle tonal transition is the design's main feature."
"WTW-022","Geometric","معبر","Crossing","Geçit","false","WTW-022-C01","Diagonal crossings create an open lattice-like field."
"WTW-023","Geometric","سنابل","Spikes","Başaklar","false","WTW-023-C01","Tiny pointed marks repeat in disciplined rows."
"WTW-024","Geometric","متاهة","Maze","Labirent","false","WTW-024-C01","Continuous fine turns weave across the repeat."
"WTW-025","Geometric","غرز","Stitches","İlmekler","false","WTW-025-C01","Small interlocked marks resemble close textile stitches."
"WTW-026","Geometric","ميل","Incline","Eğim","false","WTW-026-C01","Fine lines lean uniformly across the surface."
"WTW-027","Linear","مسافات","Intervals","Aralıklar","false","WTW-027-C01","Evenly spaced horizontal lines define the pattern."
"WTW-028","Geometric","حلقات","Loops","Halkalar","false","WTW-028-C01","Repeating narrow oval loops give a vertical rhythm."
"WTW-029","Geometric","خلايا","Cells","Hücreler","false","WTW-029-C01","A tight cellular grid repeats at small scale."
"WTW-030","Geometric","أوجه","Facets","Yüzeyler","false","WTW-030-C01","Triangular faces catch the eye within the repeat."
"WTW-031","Geometric","تطريز","Stitchwork","İşleme","false","WTW-031-C01","Fine diamond marks recall embroidered textile detail."
